Date,compound,neg,neu,pos,Close
3-Jan-11,-0.8934,0.172,0.746,0.082,119.49
4-Jan-11,-0.6996,0.133,0.806,0.06,121.87
5-Jan-11,-0.9442,0.319,0.638,0.044,124.93
6-Jan-11,-0.7906,0.179,0.726,0.094,124.98
7-Jan-11,-0.5859,0.14,0.766,0.094,124.99
10-Jan-11,-0.9723,0.272,0.667,0.062,123.56
11-Jan-11,-0.9578,0.225,0.674,0.101,123.01
12-Jan-11,-0.3818,0.125,0.757,0.118,127.87
13-Jan-11,-0.7184,0.121,0.783,0.096,127.6
14-Jan-11,-0.872,0.154,0.771,0.074,126.7
17-Jan-11,-0.5994,0.143,0.752,0.104,126.79
18-Jan-11,-0.7506,0.167,0.776,0.057,125.58
19-Jan-11,-0.765,0.142,0.784,0.074,124.49
20-Jan-11,-0.875,0.162,0.787,0.051,123.03
21-Jan-11,-0.8689,0.124,0.835,0.041,123.8
24-Jan-11,-0.8316,0.134,0.786,0.08,123.58
25-Jan-11,-0.6486,0.11,0.812,0.077,123.5
26-Jan-11,-0.9201,0.203,0.755,0.042,122.16
27-Jan-11,-0.9172,0.193,0.774,0.032,123.62
28-Jan-11,-0.936,0.209,0.735,0.056,123.82
31-Jan-11,-0.9153,0.164,0.739,0.097,123.04
1-Feb-11,-0.9628,0.167,0.769,0.064,122.33
2-Feb-11,-0.9744,0.238,0.715,0.046,124.71
3-Feb-11,-0.9568,0.191,0.768,0.041,124.03
4-Feb-11,-0.959,0.181,0.792,0.028,124.37
7-Feb-11,-0.9128,0.198,0.734,0.067,124.86
8-Feb-11,-0.9081,0.135,0.81,0.055,124.93
9-Feb-11,-0.9823,0.279,0.658,0.062,123.48
10-Feb-11,-0.9531,0.181,0.777,0.041,123.13
11-Feb-11,-0.93,0.227,0.679,0.095,122.15
14-Feb-11,-0.8074,0.16,0.712,0.128,122.15
15-Feb-11,-0.9658,0.148,0.814,0.038,123.28
17-Feb-11,-0.9802,0.197,0.803,0,124.96
18-Feb-11,-0.296,0.085,0.855,0.06,123.16
21-Feb-11,-0.9413,0.133,0.824,0.043,121.73
22-Feb-11,-0.4019,0.108,0.792,0.1,119.25
23-Feb-11,-0.9118,0.148,0.784,0.068,117.77
24-Feb-11,-0.9836,0.23,0.701,0.07,118.79
25-Feb-11,-0.9489,0.172,0.756,0.072,116.74
28-Feb-11,-0.9601,0.129,0.846,0.025,119.2
1-Mar-11,-0.9287,0.178,0.699,0.123,122.15
2-Mar-11,-0.8169,0.129,0.778,0.093,122.18
3-Mar-11,-0.9732,0.189,0.74,0.071,123
4-Mar-11,-0.959,0.213,0.691,0.095,129.14
7-Mar-11,-0.9747,0.2,0.744,0.056,127.15
8-Mar-11,-0.9911,0.279,0.656,0.065,126.59
9-Mar-11,-0.9774,0.225,0.734,0.041,127.76
10-Mar-11,-0.9661,0.172,0.777,0.05,126.7
11-Mar-11,-0.6597,0.17,0.716,0.115,127.84
14-Mar-11,-0.8729,0.174,0.708,0.118,127.99
15-Mar-11,-0.9871,0.283,0.699,0.018,107.08
16-Mar-11,-0.9882,0.222,0.778,0,106.63
17-Mar-11,-0.8979,0.162,0.743,0.094,111.25
18-Mar-11,-0.9825,0.264,0.666,0.07,108.33
21-Mar-11,-0.994,0.255,0.716,0.029,106.98
22-Mar-11,-0.9677,0.248,0.676,0.076,106.02
24-Mar-11,-0.9598,0.199,0.743,0.058,106.18
25-Mar-11,-0.9885,0.241,0.709,0.05,105.59
28-Mar-11,-0.6555,0.114,0.797,0.09,105.3
29-Mar-11,-0.9313,0.185,0.716,0.099,107.32
30-Mar-11,0.9555,0,0.76,0.24,109.13
31-Mar-11,-0.9936,0.243,0.704,0.053,111.67
1-Apr-11,-0.9702,0.2,0.698,0.102,117.25
4-Apr-11,-0.8688,0.123,0.839,0.037,119.13
5-Apr-11,0.8074,0.096,0.729,0.175,121.46
6-Apr-11,-0.8997,0.161,0.741,0.099,121.97
7-Apr-11,-0.9915,0.336,0.664,0,121.23
8-Apr-11,-0.9756,0.179,0.792,0.029,122.73
11-Apr-11,-0.9477,0.156,0.802,0.042,120.94
12-Apr-11,-0.8296,0.131,0.782,0.087,121.06
13-Apr-11,-0.9584,0.209,0.73,0.061,122.02
14-Apr-11,-0.9786,0.21,0.733,0.056,121
15-Apr-11,-0.3612,0.085,0.834,0.081,125.16
18-Apr-11,-0.9274,0.151,0.768,0.081,124.86
19-Apr-11,-0.5423,0.103,0.806,0.091,122.79
20-Apr-11,-0.8591,0.16,0.727,0.113,124.93
21-Apr-11,0.7783,0.078,0.777,0.145,124.19
22-Apr-11,0.1511,0.113,0.752,0.134,124.75
25-Apr-11,-0.9657,0.203,0.725,0.071,124.76
26-Apr-11,-0.8591,0.155,0.772,0.073,124.07
27-Apr-11,-0.7096,0.093,0.855,0.052,123.09
28-Apr-11,-0.9349,0.203,0.681,0.116,122.07
29-Apr-11,-0.9426,0.247,0.633,0.119,122.06
2-May-11,-0.9805,0.219,0.711,0.07,120.88
3-May-11,-0.8126,0.131,0.788,0.081,120.49
4-May-11,-0.9931,0.282,0.661,0.056,118.74
5-May-11,-0.9509,0.196,0.777,0.027,120.06
6-May-11,-0.9837,0.324,0.661,0.015,121.04
9-May-11,-0.4767,0.147,0.732,0.121,123.2
10-May-11,-0.9477,0.181,0.775,0.045,122.09
11-May-11,-0.7059,0.112,0.815,0.073,122.39
12-May-11,-0.969,0.176,0.774,0.05,122.18
13-May-11,-0.9814,0.217,0.747,0.036,121.12
16-May-11,-0.9485,0.192,0.737,0.071,118.14
17-May-11,-0.6597,0.146,0.748,0.106,118.51
18-May-11,-0.9517,0.258,0.633,0.109,117.48
19-May-11,-0.9869,0.148,0.802,0.05,117.35
20-May-11,-0.8225,0.149,0.727,0.124,118.87
23-May-11,-0.8432,0.147,0.739,0.114,119.98
24-May-11,-0.8779,0.12,0.811,0.069,120.3
25-May-11,-0.9201,0.118,0.808,0.074,120.61
26-May-11,-0.765,0.116,0.823,0.062,120.68
27-May-11,-0.9791,0.181,0.761,0.059,120.7
30-May-11,-0.8184,0.094,0.87,0.036,119.48
31-May-11,-0.9638,0.148,0.779,0.073,117.32
1-Jun-11,-0.9928,0.32,0.61,0.07,118.09
2-Jun-11,-0.9888,0.2,0.734,0.066,117.6
3-Jun-11,-0.9936,0.32,0.68,0,116.95
6-Jun-11,-0.9814,0.167,0.802,0.031,119.54
